NAME,Revenue_2015,Revenue_2016,Revenue_2017,Revenue_2018,Revenue_2019,Employees_2017,Employees_2018,Employees_2019,Employees_2020,Revenue_2020
LAKI,19039781738.0,24671631399.0,24573762847.0,22608855366.0,26574540757.0,781.2560572628367,805.0,790.0,785.0,29684053359.10073
YETS,3687564000.0,3663588000.0,3420430000.0,3265963000.0,3465058000.0,2210.278951816172,2394.0,2494.0,2548.0,3627202279.931565
PNMD,3139300000.0,3214000000.0,3196900000.0,3193700000.0,3166000000.0,6411.0,6506.0,7750.0,7261.9741054931865,3319417186.469129
VKNF,1994112000.0,2023348000.0,1982028000.0,2007387000.0,2009031000.0,1773.1986773908186,1925.0,1995.0,2050.0,2085435505.6595128
HHVD,761248939.0,1121284088.0,1245810056.0,1317864838.0,1779401992.0,4841.621011730227,5159.0,5599.0,5483.0,2029841008.5532033
OWRH,1542346719.0,1432739017.0,1684764846.0,1878176166.0,1756472782.0,302.4101614966181,319.0,343.0,335.0,1885037138.755966
DQVE,1198734028.0,1377446067.0,1461826444.0,1657818945.0,1663037290.0,3479.086673794381,3405.0,3377.0,3096.0,1725506367.555853
SMBV,1423357300.0,1455164329.0,1406572220.0,1534895751.0,1667789302.0,197.0,203.0,209.0,205.13319968705707,1716782458.5189638
LLQC,1462664130.0,1343274474.0,1487356029.0,1562650199.0,1575028199.0,3492.0,3748.0,3845.0,3913.7579671588774,1711883443.0633087
XXEK,1592032000.0,1585729000.0,1476923000.0,1451335000.0,1513090000.0,389.0,425.0,442.0,455.7089285851165,1560888270.4308643
LPSU,1710653330.0,1288229549.0,1155439498.0,1233895209.0,1432188686.0,262.0,275.0,269.0,271.855449899109,1457879643.9635262
ANND,555973000.0,576620000.0,1017173000.0,1204835000.0,1109359000.0,931.0,1088.0,1192.0,1276.4908934070138,1313665718.2644176
QASZ,919243085.0,1015769529.0,900881782.0,1006701494.0,1012184166.0,655.5390103752459,673.0,680.0,662.0,966247971.817139
DUNN,661353000.0,328517000.0,607659000.0,872695000.0,949310000.0,580.2035182516737,1023.0,1308.0,1688.0,1071415502.2062027
KVUI,697614279.0,971291490.0,1069414216.0,829647736.0,927081151.4311626,4414.0,4163.0,4087.0,4044.0,1143469662.8335183
